Category	Bin1[800,1000]	Bin2[1000,1200]	Bin3[1200,1400]	Bin4[1400,1600]	Bin5[1600,2000]	Bin6[2000,2400]	Bin7[2400,2800]	Bin8[2800,3200]	Bin9[3200,8000]
BKG	754.2261	440.7882	226.2267	124.7287	109.1673	38.5123	16.0726	6.2342	4.8441
2000N100_Signal	4.7448	6.6369	6.8449	7.1818	40.2585	64.9825	18.7780	4.1819	2.9930
2000N100_S/B	0.0063	0.0151	0.0303	0.0576	0.3688	1.6873	1.1683	0.6708	0.6179
2000N1100_Signal	7.2252	20.6807	56.0112	142.2911	1030.1991	400.2715	33.5275	9.9445	5.9429
2000N1100_S/B	0.0096	0.0469	0.2476	1.1408	9.4369	10.3933	2.0860	1.5952	1.2268
4000N100_Signal	0.1588	0.1549	0.1163	0.0765	0.1094	0.0687	0.0320	0.0507	0.4199
4000N100_S/B	0.0002	0.0004	0.0005	0.0006	0.0010	0.0018	0.0020	0.0081	0.0867
4000N1100_Signal	0.0304	0.0747	0.1789	0.3120	0.8766	1.1515	1.4998	2.3006	26.3228
4000N1100_S/B	0.0000	0.0002	0.0008	0.0025	0.0080	0.0299	0.0933	0.3690	5.4340
